,ARS,지하철역
292,1796,경복궁(정부서울청사)
293,1797,종로5가
294,1798,안국
295,1799,홍제
296,1800,안국
297,1801,경복궁(정부서울청사)
298,1802,한성대입구(삼선교)
299,1803,경복궁(정부서울청사)
300,1804,종로5가
301,1805,안국
302,1807,안국
303,1809,한성대입구(삼선교)
304,1810,경복궁(정부서울청사)
305,1812,안국
306,1814,안국
307,1815,종로5가
308,1816,한성대입구(삼선교)
309,1817,독립문
310,1819,안국
311,1820,독립문
312,1821,무악재
313,1823,한성대입구(삼선교)
314,1824,독립문
315,1825,동묘앞
316,1826,안국
317,1827,안국
318,1829,무악재
319,1830,한성대입구(삼선교)
320,1831,서대문
321,1832,창신
322,1833,안국
323,1835,홍제
324,1836,한성대입구(삼선교)
325,1837,서대문
326,1839,안국
327,1840,홍제
328,1841,혜화
329,1842,한성대입구(삼선교)
330,1843,서대문
331,1844,창신
332,1845,안국
333,1846,홍제
334,1847,한성대입구(삼선교)
335,1848,한성대입구(삼선교)
336,1849,서대문
337,1850,창신
338,1851,안국
339,1852,한성대입구(삼선교)
340,1853,홍제
341,1855,창신
342,1856,안국
343,1858,한성대입구(삼선교)
344,1860,혜화
345,1861,홍제
346,1862,혜화
347,1863,홍제
348,1864,한성대입구(삼선교)
349,1865,녹번
350,1866,한성대입구(삼선교)
351,1868,녹번
352,1869,한성대입구(삼선교)
353,1870,녹번
354,1872,녹번
355,1873,녹번
356,1874,녹번
357,1875,홍제
358,1876,혜화
359,1877,혜화
360,1878,혜화
361,1879,종로5가
362,1881,혜화
363,1882,독립문
364,1883,혜화
365,1886,혜화
366,1887,혜화
367,1888,종각
368,1889,안국
369,1893,종각
370,1894,광화문(세종문화회관)
371,1901,동대문
372,1902,혜화
373,1903,혜화
374,1904,안국
375,1905,안국
376,1906,안국
377,1907,광화문(세종문화회관)
378,1910,경복궁(정부서울청사)
379,1911,광화문(세종문화회관)
380,1912,종각
381,1913,종로3가(탑골공원)
382,1914,종로3가
383,1915,종로5가
384,1916,동묘앞
385,1917,신설동
386,1918,경복궁(정부서울청사)
387,2001,을지로3가
388,2002,을지로3가
389,2003,서울역
390,2004,서울역
391,2005,서울역
392,2006,서울역
393,2007,서울역
394,2008,회현(남대문시장)
395,2100,을지로입구
396,2101,애오개
397,2102,서울역
398,2103,서울
399,2104,서울
400,2105,서울
401,2106,서울
402,2107,충정로(경기대입구)
403,2108,서울
404,2109,서울
405,2110,서대문
406,2111,동대입구
407,2113,서대문
408,2116,서울
409,2117,서울
410,2118,회현(남대문시장)
411,2120,서울역
412,2121,회현(남대문시장)
413,2122,회현(남대문시장)
414,2123,회현(남대문시장)
415,2124,회현(남대문시장)
416,2125,회현(남대문시장)
417,2126,회현(남대문시장)
418,2127,회현(남대문시장)
419,2128,시청
420,2131,회현(남대문시장)
421,2132,시청
422,2133,시청
423,2134,시청
424,2135,시청
425,2137,시청
426,2139,을지로입구
427,2140,을지로입구
428,2141,을지로입구
429,2142,을지로입구
430,2144,명동
431,2145,회현(남대문시장)
432,2146,회현(남대문시장)
433,2147,명동
434,2148,명동
435,2149,명동
436,2150,명동
437,2151,충무로
438,2152,충무로
439,2153,충무로
440,2154,충무로
441,2155,충무로
442,2156,을지로입구
443,2157,을지로입구
444,2158,을지로3가
445,2159,을지로3가
446,2160,을지로3가
447,2161,을지로3가
448,2162,을지로4가
449,2163,을지로4가
450,2164,을지로4가
451,2165,을지로4가
452,2166,을지로4가
453,2167,종로5가
454,2168,동대문역사문화공원
455,2169,동대문역사문화공원
456,2170,동대문역사문화공원
457,2171,동대문역사문화공원
458,2172,동대문역사문화공원
459,2173,동대문역사문화공원
460,2174,동대문역사문화공원
461,2177,동대문역사문화공원
462,2178,신당
463,2179,신당
464,2180,신당
465,2181,신당
466,2182,신당
467,2183,신당
468,2184,신당
469,2187,청구
470,2188,청구
471,2189,청구
472,2190,청구
473,2191,약수
474,2192,약수
475,2193,약수
476,2194,약수
477,2195,약수
478,2196,약수
479,2197,버티고개
480,2198,버티고개
481,2199,약수
482,2201,동대입구
483,2202,동대입구
484,2203,동대입구
485,2204,동대입구
486,2205,동대입구
487,2206,동대입구
488,2207,충무로
489,2208,을지로4가
490,2209,버티고개
491,2210,버티고개
492,2211,청구
493,2212,청구
494,2213,청구
495,2214,청구
496,2215,회현(남대문시장)
497,2218,서울역
498,2219,회현(남대문시장)
499,2220,명동
500,2221,명동
501,2222,동대입구
502,2223,약수
503,2224,종각
504,2225,을지로3가
505,2226,을지로4가
506,2227,종로5가
507,2228,종로5가
508,2229,동대문
509,2230,동묘앞
510,2233,회현(남대문시장)
511,2235,동대문역사문화공원
512,2236,버티고개
513,2237,버티고개
514,2240,을지로4가
515,2241,동대문
516,2242,충무로
517,2246,을지로입구
518,2252,신당
519,2253,을지로입구
520,2254,버티고개
521,2255,신금호
522,2256,신금호
523,2257,신당
524,2258,신당
525,2259,신당
