,역명,지하철역
162,청룡사.보문파크뷰자이아파트,창신
163,북촌한옥마을입구.정세권활동터,안국
164,종로1.2.3.4가동주민센터,종로3가(탑골공원)
165,아름다운실버,녹번
166,독립문초등학교,독립문
167,종로센트레빌아파트,창신
168,가회동주민센터,안국
169,문방구,녹번
170,원남로터리,종로5가
171,보현산신각,독바위
172,천사유치원,독립문
173,쌍용아파트입구.창신역,창신
174,아름다운가게.정독도서관,안국
175,산정빌라,녹번
176,이화사거리,종로5가
177,혜원사,독바위
178,무악현대아파트후문,독립문
179,헌법재판소.안국역,안국
180,청구빌라,녹번
181,서울대어린이병원응급실.갑상선센터,혜화
182,화인빌라,녹번
183,넓은마당,독립문
184,창신초등학교,창신
185,수운회관,안국
186,상명대후문,녹번
187,힐탑,녹번
188,신학대학교총회본부,독립문
189,낙원상가,종로3가(탑골공원)
190,완성빌라,녹번
191,서울대병원장례식장,혜화
192,혜화역1번출구,혜화
193,파라과이대사관,녹번
194,한국사회과학자료원,독립문
195,동묘역,동묘앞
196,금강제화,종로3가(탑골공원)
197,경진빌라,홍제
198,성균관대학교앞,혜화
199,광화문한국통신,광화문(세종문화회관)
200,EN갤러리,녹번
201,종로문화센터,독립문
202,동대문역.2번출구,동대문
203,종각역YMCA,종각
204,서교빌라,녹번
205,연건동,종로5가
206,성대입구,혜화
207,무애사,독바위
208,단군성전앞,경복궁(정부서울청사)
209,동대문종합시장,종로5가
210,상명초등학교,홍제
211,법련사,안국
212,성균관대학교,혜화
213,제1놀이터,독바위
214,활터앞,경복궁(정부서울청사)
215,종로5가.3번출구,종로5가
216,인사동들머리.3.1독립선언터,종각
217,정독도서관,안국
218,밀알기도원,독바위
219,창경궁.고궁호텔.메이플레이스호텔,혜화
220,종로3가,종로3가
221,종로4가,종로3가
222,동대문종합시장종로6가,종로5가
223,종로도서관,경복궁(정부서울청사)
224,안국역,안국
225,종로사우나,종로3가(탑골공원)
226,엄마분식,녹번
227,통인시장.종로구보건소,경복궁(정부서울청사)
228,종로5가역,종로5가
229,평창공원지킴터입구,독바위
230,배화여중고,경복궁(정부서울청사)
231,대학로입구.이화사거리,종로5가
232,운현궁,안국
233,상명대입구,홍제
234,명동의류,한성대입구(삼선교)
235,충신시장,종로5가
236,안국역2번출구앞,안국
237,감람산기도원,한성대입구(삼선교)
238,카센터.터널앞,경복궁(정부서울청사)
239,재동초등학교,안국
240,교육과정평가원,안국
241,연화정사,한성대입구(삼선교)
242,대신중고,독립문
243,현대사거리,안국
244,교남동주민센터,독립문
245,형제봉매표소,한성대입구(삼선교)
246,교남동새마을금고,독립문
247,창신초교,동묘앞
248,볼링장,안국
249,부암슈퍼,무악재
250,지구촌교회,한성대입구(삼선교)
251,월암공원,서대문
252,보현빌라,한성대입구(삼선교)
253,스위스대사관,서대문
254,세검정교회,홍제
255,북악휴게실,한성대입구(삼선교)
256,서울시교육청,서대문
257,창신쌍용1단지.종로센트레빌아파트,창신
258,사우디대사관,안국
259,북악파크,한성대입구(삼선교)
260,귀빈예식장,홍제
261,성대후문.와룡공원,혜화
262,마트앞,녹번
263,국민은행.세검정지점,녹번
264,혜화역4번출구,혜화
265,방송통신대앞,혜화
266,서울대치과대학,혜화
267,효제초교.연동교회.김마리아활동터,종로5가
268,독립문역,독립문
269,서울대학교병원현관.암병원현관,혜화
