,역명,지하철역
1224,청솔우성아파트.답십리시장,답십리
1225,답십리2동시온교회앞,답십리
1226,답십리1동희망샘교회앞,답십리
1227,답십리초등학교.현대시장,답십리
1228,답십리초등학교앞,답십리
1229,황물로사거리,답십리
1230,답십리1동주민센터.래미안위브,신답
1231,동대문중학교,신답
1232,전농래미안크레시티아파트,청량리(서울시립대입구)
1233,대한노인회동대문구지회,청량리(서울시립대입구)
1234,전농사거리,청량리(서울시립대입구)
1235,배봉초등학교.전농우성아파트,용마산
1236,장안2동주민센터,용마산
1237,장안교앞,사가정
1238,장안교은석초등학교,사가정
1239,청량리역6번출구,청량리(서울시립대입구)
1240,롯데캐슬노블레스,청량리(서울시립대입구)
1241,전농시장앞,청량리(서울시립대입구)
1242,래미안크레시티.답십리도서관,신답
1243,동대문구답십리도서관앞,신답
1244,답십리래미안위브아파트,답십리
1245,답십리래미안미드카운티,답십리
1246,답십리종합상가,답십리
1247,답십리2동두산아파트,답십리
1248,한양아파트.청솔우성아파트후문,답십리
1249,답십리2동한양아파트앞,답십리
1250,동답한신.대림아파트동대문체육관,장한평
1251,촬영소사거리.동답초등학교,장한평
1252,촬영소사거리.세양청마루아파트앞,장한평
1253,장안1파출소,장한평
1254,장안사거리,용마산
1255,국민은행장안동지점,용마산
1256,장안동근린공원,용마산
1257,NH농협장안평지점,용마산
1258,코리아병원,용마산
1259,새서울병원,용마산
1260,장안동삼성쉐르빌아파트,중곡
1261,경남호텔앞,장한평
1262,동경호텔현대벤처빌,장한평
1263,동경호텔앞,장한평
1264,우리은행장안지점앞,장한평
1265,북한연구소앞,장한평
1266,신이문역,중화
1267,이문동현대아파트앞,중화
1268,이문동현대아파트,중화
1269,휘경2동주민센터,중화
1270,동부아동상담소,용마산
1271,장안삼성래미안2차아파트,용마산
1272,장안삼성래미안2차아파트.성복교회,용마산
1273,장안현대홈타운아파트앞,중곡
1274,구민회관앞,중곡
1275,파라브아파트,군자(능동)
1276,장안현대홈타운상가,중곡
1277,장안현대홈타운앞,중곡
1278,장안치안센터,중곡
1279,장평중학교,장한평
1280,회기역종점,청량리(서울시립대입구)
1281,경희대입구,청량리(서울시립대입구)
1282,서울바이오허브.농촌경제연구원,고려대(종암)
1283,한국과학기술원.홍릉초등학교,고려대(종암)
1284,국방연구원,고려대(종암)
1285,세종대왕기념관,고려대(종암)
1286,영휘원사거리.(구)홍릉사거리,청량리(서울시립대입구)
1287,동대문경찰서,청량리(서울시립대입구)
1288,현대코아,청량리(서울시립대입구)
1289,동대문중앙새마을금고,제기동
1290,제기동주민센터앞,제기동
1291,제기동한신아파트,고려대(종암)
1292,제기시장,고려대(종암)
1293,외대역앞,상월곡(한국과학기술연구원)
1294,이경시장,중화
1295,청량리한신아파트,청량리(서울시립대입구)
1296,전농동SK아파트,청량리(서울시립대입구)
1297,제기동천주교회,안암(고대병원앞)
1298,이문동쌍용아파트,중화
1299,이문1동주민센터,중화
1300,장안동우체국,장한평
1301,한국산업인력공단서울지역본부,사가정
1302,휘경공고휘경주공아파트,사가정
1303,래미안장안1차아파트앞,중곡
1304,장평중학교앞,장한평
1305,동대문구청.용두역,용두(동대문구청)
1306,종로사약국,중화
1307,회기동현대아파트,청량리(서울시립대입구)
1308,우산빌딩앞,청량리(서울시립대입구)
1309,배봉산입구,사가정
1310,동부아파트,청량리(서울시립대입구)
1311,자동차부품상가,장한평
1312,장안동삼성쉐르빌아파트앞,장한평
1313,동대문노인종합복지관,청량리(서울시립대입구)
1314,쌍용아파트,중화
1315,우리은행,장한평
1316,동일스위트리버앞.휘봉고교,면목
1317,엘림교회.대명신협앞,제기동
1318,휘봉초등학교,면목
1319,휘경미소지움아파트,중화
1320,휘경공고.휘경주공아파트,사가정
1321,용두동신동아아파트,용두(동대문구청)
1322,청량리청과물도매시장,제기동
1323,답십리역,답십리
1324,가든아파트.수사연구소,사가정
1325,회기역,청량리(서울시립대입구)
1326,농협답십리역지점,용답
1327,동일하이빌.현대베스트빌아파트,사가정
1328,동안교회,상월곡(한국과학기술연구원)
1329,청계한신휴플러스,신답
1330,경희대의료원,월곡(동덕여대)
1331,한신휴플러스정문,신답
1332,경희맨션,상월곡(한국과학기술연구원)
1333,동아아파트,신답
1334,미니슈퍼,상월곡(한국과학기술연구원)
1335,전농119안전센터,청량리(서울시립대입구)
1336,외대.경희대후문,상월곡(한국과학기술연구원)
1337,전농1동치안센터,청량리(서울시립대입구)
1338,휘경여중고.휘경주공아파트,사가정
1339,신성미소지움아파트,청량리(서울시립대입구)
1340,삼성래미안,상월곡(한국과학기술연구원)
1341,청량리소화물취급소,청량리(서울시립대입구)
1342,영광빌딩,청량리(서울시립대입구)
1343,새마을금고앞,상월곡(한국과학기술연구원)
1344,시립대입구,청량리(서울시립대입구)
1345,외대앞역,중화
1346,딩동슈퍼,상월곡(한국과학기술연구원)
1347,동대부고.은석초교앞,용마산
1348,서울시립대,청량리(서울시립대입구)
1349,동대문해병전우회,청량리(서울시립대입구)
1350,태양어린이.동아아파트,신답
1351,한신휴플러스후문,신답
1352,장미예식장,용답
1353,동부자동차매매시장,답십리
1354,답십리역.경우회매장입구,답십리
1355,답십리쌍마사거리,답십리
1356,부속상가,답십리
1357,고려대역3번출구,고려대(종암)
1358,의료원입구사거리,월곡(동덕여대)
1359,장안삼거리,용마산
1360,장안사거리삼성래미안,용마산
1361,청량리역,청량리(서울시립대입구)
1362,전농로터리시장,청량리(서울시립대입구)
1363,신설동로터리.서울풍물시장,신설동
1364,경동시장사거리,제기동
1365,경남관광호텔,장한평
1366,동답초교.대림아파트,장한평
1367,망우역.상봉터미널,상봉(시외버스터미널)
1368,상봉역.중랑우체국,상봉(시외버스터미널)
1369,중랑역.동부시장,상봉(시외버스터미널)
1370,망우역.망우지구대,상봉(시외버스터미널)
1371,우림시장.망우사거리,상봉(시외버스터미널)
1372,금란교회,상봉(시외버스터미널)
1373,동부제일병원.망우리공원,상봉(시외버스터미널)
1374,극동늘푸른아파트,먹골
1375,묵동자이.신도브래뉴아파트,태릉입구
1376,묵동삼거리.먹골역,먹골
1377,먹골역. 묵동자이아파트,먹골
1378,한국전력동부지사,먹골
1379,지하철7호선중화역,중화
1380,국민은행중화동지점,중화
1381,중화동한신아파트,중화
1382,상봉2동복합청사.도서관,상봉(시외버스터미널)
1383,면목2동주민센터,면목
1384,중목초등학교,면목
1385,면목2동,면목
1386,면목5동주민센터,사가정
1387,장안시장,면목
1388,면목신우아파트,사가정
1389,면목119안전센터,용마산
1390,경남아너스빌아파트앞,용마산
1391,늘푸른동아아파트,용마산
1392,중랑역동부시장1,상봉(시외버스터미널)
1393,중랑역.동부시장1,상봉(시외버스터미널)
1394,한샘교회,상봉(시외버스터미널)
1395,국민은행망우동지점,상봉(시외버스터미널)
1396,지하철7호선상봉역,상봉(시외버스터미널)
1397,망우역,상봉(시외버스터미널)
1398,망우지구대,상봉(시외버스터미널)
1399,하나은행망우동지점,상봉(시외버스터미널)
1400,금란교회앞,상봉(시외버스터미널)
1401,망우동고개,상봉(시외버스터미널)
1402,서울우유앞,상봉(시외버스터미널)
1403,중랑초등학교,면목
1404,KT중랑지사,면목
1405,KT중랑지점,상봉(시외버스터미널)
1406,KT중랑지점사거리,상봉(시외버스터미널)
1407,금성시장,상봉(시외버스터미널)
1408,서울창업카페상봉점,면목
1409,면목6거리,면목
1410,혜원목욕탕,면목
1411,상봉터미널입구,면목
1412,혜원여중고입구,면목
1413,봉우재고개,면목
1414,우림시장,면목
1415,면목초등학교,면목
1416,지하철7호선면목역,면목
1417,면목본동주민센터.면목정보도서관,면목
1418,면동초등학교,사가정
1419,면목우체국.녹색병원,사가정
1420,지하철7호선사가정역,사가정
1421,면목시장,사가정
1422,면남초등학교,사가정
1423,방약국앞,용마산
1424,중곡초등학교,용마산
1425,삼용사입구,상봉(시외버스터미널)
1426,용마공원입구,면목
1427,면일초등학교,면목
1428,우리은행망우동지점,면목
1429,서일대학교,면목
1430,용마문화복지센터,사가정
1431,중화중학교,사가정
1432,중화중학교.다문화가족지원센터,사가정
1433,면중초등학교,사가정
1434,용마한신아파트,사가정
1435,면목동금호어울림아파트,사가정
1436,면목동대원칸타빌아파트,용마산
1437,용마폭포공원,용마산
1438,용마산역,용마산
1439,용마산하늘채아파트,용마산
1440,묵동구길,태릉입구
1441,묵1동주민센터입구.먹골역,먹골
1442,신성은하수아파트,면목
1443,면목2동한신아파트,면목
1444,면목5동,면목
1445,동서그랜드맨션,면목
1446,하나은행면목지점,면목
1447,면목복개천,면목
1448,면목역,면목
1449,농협앞,면목
1450,혜원여중고후문,면목
1451,면목마젤란아파트,면목
1452,녹색병원입구,사가정
1453,면목두산아파트1차,사가정
1454,면목두산아파트4.5단지,용마산
1455,홈플러스면목동점,사가정
1456,면목두산아파트2차,사가정
1457,사가정역,사가정
1458,사가정시장,사가정
1459,용마산교차로,사가정
1460,중화2동주민센터,중화
1461,지하철7호선중화역3번출구,중화
1462,지하철7호선중화역2번출구,중화
1463,중흥초등학교,중화
1464,이화연립경동제일교회앞,중화
1465,쌍용아파트신내테크노타운앞,중화
1466,엘지아파트앞,중화
1467,신현중학교,중화
1468,중랑구청,봉화산(서울의료원)
1469,동성프라자앞,봉화산(서울의료원)
1470,성원아파트경남아너스빌앞,상봉(시외버스터미널)
1471,중랑구청사거리,봉화산(서울의료원)
1472,신내동성3차아파트,봉화산(서울의료원)
1473,신내동성1.2차아파트,봉화산(서울의료원)
1474,신내10단지아파트,봉화산(서울의료원)
1475,신내9단지아파트,봉화산(서울의료원)
1476,신내8단지아파트.서울의료원,봉화산(서울의료원)
1477,신내9단지아파트.서울의료원,봉화산(서울의료원)
1478,신내7단지아파트홈플러스,봉화산(서울의료원)
1479,봉화초등학교,봉화산(서울의료원)
1480,신내6단지아파트.옹기테마공원,봉화산(서울의료원)
1481,신내6단지,봉화산(서울의료원)
1482,신내우체국,봉화산(서울의료원)
1483,구립도서관체육관,봉화산(서울의료원)
1484,신내4단지아파트,화랑대(서울여대입구)
1485,지하철6호선화랑대역,화랑대(서울여대입구)
1486,봉화산역2번출구,봉화산(서울의료원)
1487,봉화산역3번출구,봉화산(서울의료원)
1488,중랑경찰서후문,봉화산(서울의료원)
1489,새우개마을,봉화산(서울의료원)
1490,신내능마을,봉화산(서울의료원)
1491,신내교회.신내데시앙아파트,봉화산(서울의료원)
1492,신내초등학교,봉화산(서울의료원)
1493,신내새한아파트앞,봉화산(서울의료원)
1494,능산지하차도,상봉(시외버스터미널)
1495,상봉터미널,상봉(시외버스터미널)
1496,망우3동주민센터.혜원여중고후문,면목
1497,동원시장,면목
1498,면목본동파출소,면목
1499,중화2동체육공원,중화
1500,중화빗물펌프장,중화
1501,중화2동새마을금고,중화
1502,중랑교동부시장,중화
1503,아남리치카운티아파트,면목
1504,망우금호어울림아파트,봉화산(서울의료원)
1505,망우동금호어울림아파트,봉화산(서울의료원)
1506,경남아파트,봉화산(서울의료원)
1507,서울특별시북부병원,봉화산(서울의료원)
1508,양원역입구,봉화산(서울의료원)
1509,양원리,봉화산(서울의료원)
1510,동서울교회,봉화산(서울의료원)
1511,중랑공영차고지,봉화산(서울의료원)
1512,면목아남아파트,면목
1513,중랑소방서,봉화산(서울의료원)
1514,세방아파트입구,화랑대(서울여대입구)
1515,원묵고등학교,화랑대(서울여대입구)
1516,먹골파출소.신안아파트입구,먹골
1517,신안2차아파트,먹골
1518,신안2차아파트입구,먹골
1519,송곡여고양원역,봉화산(서울의료원)
1520,풍진슈퍼,봉화산(서울의료원)
1521,이화미디어고.중랑숲어린이도서관,봉화산(서울의료원)
1522,망우사거리,상봉(시외버스터미널)
1523,신내6단지아파트,봉화산(서울의료원)
1524,이수아파트앞시장입구,화랑대(서울여대입구)
1525,묵동교,태릉입구
1526,동양쇼핑,먹골
1527,하나은행,태릉입구
1528,한국아파트,태릉입구
1529,동구햇살아파트,먹골
1530,묵동명사약국,태릉입구
1531,브라운캐슬,먹골
1532,먹골역입구,먹골
1533,묵2동주민센터,먹골
1534,금보당금은방,먹골
1535,신묵초등학교입구,먹골
1536,신묵초등학교,먹골
1537,제일시장,중화
1538,제일프라자,중화
1539,신동신약국,중화
1540,중화역입구대원사약국,중화
1541,중화역입구대원사입구,중화
1542,태릉시장입구,중화
1543,태릉프라자약국농협,중화
1544,태릉시장입구굴다리,중화
1545,우남푸르미아아파트,봉화산(서울의료원)
1546,대명프라자,상봉(시외버스터미널)
1547,건영아파트,상봉(시외버스터미널)
1548,상봉1동주민센터,상봉(시외버스터미널)
1549,신내쌍용아파트,상봉(시외버스터미널)
1550,면목두산아파트2.3단지,사가정
1551,중랑공영차고지.신내역,봉화산(서울의료원)
1552,양원역,봉화산(서울의료원)
1553,성은교회앞,중화
1554,해모로아파트앞,봉화산(서울의료원)
1555,먹골역,먹골
1556,태릉고등학교앞,화랑대(서울여대입구)
1557,태릉고등학교.원묵초등학교,화랑대(서울여대입구)
1558,서울의료원후문,봉화산(서울의료원)
1559,신내데시앙아파트후문,봉화산(서울의료원)
1560,중화중학교삼거리,면목
1561,새우개마을입구,봉화산(서울의료원)
1562,신내차량사업소입구,봉화산(서울의료원)
1563,용마산빌라,용마산
1564,신내역1번출구,봉화산(서울의료원)
1565,능말입구,봉화산(서울의료원)
1566,신내데시앙아파트,봉화산(서울의료원)
1567,당너머,봉화산(서울의료원)
1568,신내데시앙포레아파트220동앞,봉화산(서울의료원)
1569,신내데시앙포레아파트222동앞,봉화산(서울의료원)
1570,새솔초등학교입구,봉화산(서울의료원)
1571,새솔초등학교,봉화산(서울의료원)
1572,중랑경찰서정문.우디안101동앞,봉화산(서울의료원)
1573,신내우디안아파트107동앞,봉화산(서울의료원)
1574,중랑공영차고지삼거리,봉화산(서울의료원)
1575,우디안아파트114동앞,봉화산(서울의료원)
1576,늘푸른근린공원,사가정
1577,브라운캐슬B동,먹골
1578,진로아파트앞.종점,면목
1579,중화동종점,중화
1580,진주빌라.바다약국,면목
1581,정신교회,중화
1582,마을금고,중화
1583,공판장,면목
1584,수협,중화
1585,태릉시장,중화
1586,서울중앙외과,면목
1587,면목2동치안센터,면목
1588,중랑초등학교정문,면목
1589,면목지구대,면목
1590,중랑공영차고지.종점,봉화산(서울의료원)
1591,월곡뉴타운,길음
1592,길음뉴타운,길음
1593,미아리고개.미아리예술극장,길음
1594,돈암사거리.성신여대입구,성신여대입구(돈암)
1595,삼선교.한성대학교,한성대입구(삼선교)
1596,삼선교.한성대학교.조소앙활동터,한성대입구(삼선교)
1597,숭곡초교입구,미아사거리
1598,창문여고,미아사거리
1599,동방고개,미아사거리
1600,장위동그린빌아파트,미아사거리
1601,북서울꿈의숲,미아사거리
1602,장월초등학교,돌곶이
1603,국민대앞,한성대입구(삼선교)
1604,국민대학교앞,한성대입구(삼선교)
1605,청덕초등학교,성신여대입구(돈암)
1606,청덕초교,성신여대입구(돈암)
1607,북악중학교,길음
1608,고려대사범대학부속고등학교,길음
1609,봉국사,길음
1610,정릉2동주민센터,길음
1611,숭덕초교,길음
1612,정릉길음시장,길음
1613,정릉길음시장.길음뉴타운9단지,길음
1614,돈암동삼성아파트입구,길음
1615,길음역,길음
1616,돈암1동주민센터,길음
1617,종암사거리,길음
1618,KT월곡지사,월곡(동덕여대)
1619,종암SK아파트,월곡(동덕여대)
1620,성북구보건소,월곡(동덕여대)
1621,월곡역,월곡(동덕여대)
1622,동덕여대앞,월곡(동덕여대)
1623,한국과학기술연구원입구,월곡(동덕여대)
1624,상월곡역,상월곡(한국과학기술연구원)
1625,월곡중학교,상월곡(한국과학기술연구원)
1626,새석관시장,상월곡(한국과학기술연구원)
1627,돌곶이역,돌곶이
1628,장위동동원베네스트.온누리병원,돌곶이
1629,석관동주민센터,석계
1630,석계역굴다리앞,석계
1631,석계역,석계
1632,성가복지병원,길음
1633,종암경찰서,월곡(동덕여대)
1634,종암동주민센터,월곡(동덕여대)
1635,숭례초교,고려대(종암)
1636,숭례초등학교,고려대(종암)
1637,고대앞,고려대(종암)
1638,대광초교,신설동
1639,정릉북한산국립공원입구,미아(서울사이버대학)
1640,정릉산장아파트,미아(서울사이버대학)
1641,정릉대우아파트,미아사거리
1642,정릉4동주민센터.경국사,길음
1643,KEB.하나은행.정릉중앙지점,길음
1644,정릉시장입구,길음
1645,정릉우체국앞,길음
1646,미아초교,미아사거리
1647,길음동동부아파트,길음
1648,삼선동주민센터,성신여대입구(돈암)
1649,성북구청.성북경찰서,보문
1650,보문역,보문
1651,브라운호텔,보문
1652,보문동주민센터,신설동
1653,월계2교.참누리아파트,돌곶이
1654,월계2교,돌곶이
1655,광운초교앞,돌곶이
1656,광운초교,돌곶이
1657,장위3동주민센터,돌곶이
1658,장삼주유소,돌곶이
1659,장위사거리,돌곶이
1660,석관중고등학교앞,돌곶이
1661,석관고등학교,돌곶이
1662,석관동코오롱아파트,돌곶이
1663,장곡초교앞,돌곶이
1664,하나은행장위동지점,돌곶이
1665,장위동원천주유소,돌곶이
1666,장위2동주민센터,돌곶이
1667,석관시장,돌곶이
1668,석관동새마을금고,돌곶이
1669,한국예술종합학교,돌곶이
1670,돈암힐스테이트.코오롱하늘채,성신여대입구(돈암)
1671,꿈의숲아이파크아파트,돌곶이
1672,장곡초교사거리,돌곶이
1673,서울다원학교.한용운활동터,한성대입구(삼선교)
1674,동방문화대학원대학교,한성대입구(삼선교)
1675,성북구립미술관.쌍다리앞,한성대입구(삼선교)
1676,성북초교.성북선잠박물관,한성대입구(삼선교)
1677,홍익대부속중고등학교입구,한성대입구(삼선교)
1678,경신중고입구,한성대입구(삼선교)
1679,성북동주민센터.동구마케팅고,한성대입구(삼선교)
1680,삼선교.성북문화원,한성대입구(삼선교)
1681,장위래미안아파트,돌곶이
1682,신종월교,월곡(동덕여대)
1683,길음시장,길음
1684,미아사거리,미아사거리
1685,서경로꿈마루도서관앞,길음
1686,길원초등학교입구,길음
1687,길음뉴타운11단지롯데캐슬,길음
1688,정릉동아.태영아파트,길음
1689,정릉태영.동아아파트,길음
1690,성북생태체험관,미아(서울사이버대학)
1691,정릉초교,미아(서울사이버대학)
1692,정릉동풍림상가앞,미아사거리
1693,정릉동풍림아파트.청소년문화의집,미아사거리
1694,정릉입구,길음
1695,아리랑고개.아리랑시네미디어센터,성신여대입구(돈암)
1696,돈암2동주민센터입구.흥천사,성신여대입구(돈암)
1697,성신여대입구역,성신여대입구(돈암)
1698,대농빌라앞,월곡(동덕여대)
1699,월곡샹그레빌아파트,고려대(종암)
1700,장위동고개,미아사거리
1701,장위1동주민센터,상월곡(한국과학기술연구원)
1702,장위1동치안센터,상월곡(한국과학기술연구원)
1703,국민은행장위동지점,상월곡(한국과학기술연구원)
1704,월곡1동주민센터,미아사거리
1705,밤나무골시장,미아사거리
1706,월곡삼성래미안아파트,미아사거리
1707,월곡동두산아파트,월곡(동덕여대)
1708,생명의전화,월곡(동덕여대)
1709,장곡초교,돌곶이
1710,안암동주민센터,보문
1711,고려대이공대.고대병원,안암(고대병원앞)
1712,안암역,안암(고대병원앞)
1713,안암전철역,안암(고대병원앞)
1714,개운사입구,안암(고대병원앞)
1715,돈암시장입구,성신여대입구(돈암)
1716,성북구청,보문
1717,보문2교,보문
1718,성신여대후문,보문
1719,용문중고교,보문
1720,안암초교,보문
1721,돈암초교입구,성신여대입구(돈암)
1722,정릉3동주민센터앞,길음
1723,삼덕단지앞,길음
1724,솔샘사거리,길음
1725,성북우체국현대백화점,길음
1726,정릉동풍림아파트,미아사거리
1727,현대백화점,길음
1728,돈암동일신건영휴먼빌아파트,성신여대입구(돈암)
1729,월곡2SH빌아파트,월곡(동덕여대)
1730,석관고등학교후문,석계
1731,정릉풍림아파트.청소년문화의집,미아사거리
1732,상진운수종점,석계
1733,대진여객차고지,미아(서울사이버대학)
1734,풍림아파트삼거리,미아사거리
1735,508단지장터앞,성신여대입구(돈암)
1736,508단지입구,성신여대입구(돈암)
1737,산장빌라,성신여대입구(돈암)
1738,성북참노인전문병원,한성대입구(삼선교)
1739,교수단지,성신여대입구(돈암)
1740,우방아파트,성신여대입구(돈암)
1741,일신건영아파트.꿈에그린아파트,성신여대입구(돈암)
1742,구민회관입구,한성대입구(삼선교)
1743,스카이힐스,한성대입구(삼선교)
1744,대일외고서경대정문,길음
1745,서경대본관,미아사거리
1746,길음뉴타운8단지,길음
1747,국민커뮤니티센터,길음
1748,정릉연립,길음
1749,국민대후문,길음
1750,고려대사범대학부속고등학교.후문,길음
1751,월곡래미안루나밸리,월곡(동덕여대)
1752,길음뉴타운10단지.라온유아파트,길음
1753,숭곡초교후문,미아사거리
1754,월곡아남아파트,월곡(동덕여대)
1755,월곡동신아파트,월곡(동덕여대)
1756,돌곶이역8번출구,돌곶이
1757,한성대입구역,한성대입구(삼선교)
1758,장위동입구,미아사거리
1759,북한산보국문역2번출구,길음
1760,북한산보국문역1번출구,길음
1761,일신휴먼빌.우정아파트,성신여대입구(돈암)
1762,고려아파트,길음
1763,장월초교.참누리아파트,돌곶이
1764,동방주택,상월곡(한국과학기술연구원)
1765,장위중학교,상월곡(한국과학기술연구원)
1766,신안APT.길음초등학교,미아사거리
1767,정릉4동종점,길음
1768,산림초소,길음
1769,4호선성신여대역,성신여대입구(돈암)
1770,삼선푸르지오APT앞,보문
1771,한성대정문,창신
1772,한신113동앞,성신여대입구(돈암)
1773,낙산삼거리,창신
1774,돈암2동주민센터,성신여대입구(돈암)
1775,종암중학교,고려대(종암)
1776,종암교통정보센터,고려대(종암)
1777,고려슈퍼,길음
1778,슈퍼앞,미아사거리
1779,월곡청소년센터,상월곡(한국과학기술연구원)
1780,대우APT211동,미아사거리
1781,KEB하나은행.오렌지마트,길음
1782,중앙하이츠정문,성신여대입구(돈암)
1783,삼선초교,보문
1784,한양슈퍼앞,창신
1785,구민회관201동앞,성신여대입구(돈암)
1786,돈암지구대.현대아파트,성신여대입구(돈암)
1787,선경아파트,고려대(종암)
1788,세븐마트,고려대(종암)
1789,죽림정사,길음
1790,나약국,미아사거리
1791,월곡인조잔디구장,월곡(동덕여대)
1792,대우APT정문.대림APT후문,길음
1793,중앙하이츠후문,성신여대입구(돈암)
1794,성신여대정문앞,성신여대입구(돈암)
1795,한성대입구3거리,한성대입구(삼선교)
1796,법화사,한성대입구(삼선교)
1797,이수아파트.한신휴아파트입구,성신여대입구(돈암)
1798,극동아파트정문,고려대(종암)
1799,고려대법과대학입구,고려대(종암)
1800,삼성래미안2차APT,길음
1801,빙그레슈퍼,상월곡(한국과학기술연구원)
1802,월곡1동밤골경로당,월곡(동덕여대)
1803,새생명교회,길음
1804,도광사,길음
1805,정수초교,성신여대입구(돈암)
1806,홈마트,보문
1807,극동아파트후문,고려대(종암)
1808,고려대안암학사,고려대(종암)
1809,통일교회,길음
1810,초림빌라,월곡(동덕여대)
1811,대림상가앞,길음
1812,산장아파트,미아사거리
1813,그린빌라,성신여대입구(돈암)
1814,삼선시장앞,한성대입구(삼선교)
1815,종암아이파크2차정문,고려대(종암)
1816,고려대아이스링크,안암(고대병원앞)
1817,그린마트,길음
1818,장위천주교앞,상월곡(한국과학기술연구원)
1819,동덕여대후문,월곡(동덕여대)
1820,대림APT정문,길음
1821,래미안821동앞,길음
1822,정수빌라,성신여대입구(돈암)
1823,한성대전철역입구,한성대입구(삼선교)
1824,삼선시장,한성대입구(삼선교)
1825,정덕초교입구.이수아파트,성신여대입구(돈암)
1826,현대홈마트,고려대(종암)
1827,성북구의회,성신여대입구(돈암)
1828,종암아이파크2차후문,고려대(종암)
1829,장위시장,돌곶이
1830,두산아파트후문,월곡(동덕여대)
1831,파리바게트앞,미아사거리
1832,길음시장입구,길음
1833,길음역출구,길음
1834,한신105동앞,한성대입구(삼선교)
1835,개운중학교,성신여대입구(돈암)
1836,성북노인정입구,고려대(종암)
1837,어해랑앞,돌곶이
1838,자산약국.월곡전철역입구.6호선,월곡(동덕여대)
1839,동부아파트.샘물교회앞,미아사거리
1840,길음전철역,길음
1841,수녀원,길음
1842,고려대이공대,안암(고대병원앞)
1843,삼선교.한성대입구역,한성대입구(삼선교)
1844,한신103동앞,한성대입구(삼선교)
1845,돈암신일해피트리아파트,성신여대입구(돈암)
1846,풍림아파트.성신초교,성신여대입구(돈암)
1847,한미약국,월곡(동덕여대)
1848,세광빌라,돌곶이
1849,래미안길음센터피스120동앞,미아사거리
1850,고대병원,안암(고대병원앞)
1851,풍림106동,성신여대입구(돈암)
1852,관문약국,돌곶이
1853,동덕여대부속유치원앞,상월곡(한국과학기술연구원)
1854,영훈중.고후문,미아사거리
1855,길음시장앞,길음
1856,월곡로데오거리,월곡(동덕여대)
1857,구.정릉3동주민센터,길음
1858,지하철4호선한성대역,한성대입구(삼선교)
1859,참누리아파트,돌곶이
1860,고명중고교,성신여대입구(돈암)
1861,장위119안전센터,돌곶이
1862,장곡시장,돌곶이
1863,우리랜드사우나,돌곶이
1864,미아사거리전철역,미아사거리
1865,패밀리마트,길음
1866,고대사거리,안암(고대병원앞)
1867,삼선교역2번출구,한성대입구(삼선교)
1868,삼선교제1시장,한성대입구(삼선교)
1869,개운초등학교,길음
1870,브라운스톤,성신여대입구(돈암)
1871,래미안610동앞,길음
1872,수보약국,길음
1873,쌍다리,한성대입구(삼선교)
1874,녹십자약국,한성대입구(삼선교)
1875,삼선교제2시장,한성대입구(삼선교)
1876,종암래미안,길음
1877,힐스테이트,성신여대입구(돈암)
1878,래미안609동앞,길음
1879,오렌지마트,길음
1880,용광교회,한성대입구(삼선교)
1881,삼영탕앞,한성대입구(삼선교)
1882,성북세무서앞,한성대입구(삼선교)
1883,종암아이파크1차정문,길음
1884,우성APT정문,성신여대입구(돈암)
1885,현대자동차길음지점,길음
1886,래미안501동앞,길음
1887,양씨가게앞,한성대입구(삼선교)
1888,본교회앞,한성대입구(삼선교)
1889,성북소방서,길음
1890,길음1동주민센터.길음중앙새마을금고앞,길음
1891,국민은행사거리,상월곡(한국과학기술연구원)
1892,한성대삼거리,한성대입구(삼선교)
1893,고려삼계탕,성신여대입구(돈암)
1894,꿈의숲대명루첸아파트,돌곶이
1895,남대문중학교,돌곶이
1896,돈암코오롱하늘채.일신휴먼빌,성신여대입구(돈암)
1897,서경대정문.대일외고,길음
1898,노인정,한성대입구(삼선교)
1899,범양APT입구,길음
1900,선잠로3길입구,한성대입구(삼선교)
1901,원진프라자앞,월곡(동덕여대)
1902,대우APT정문.대림APT후문앞,길음
1903,선잠단지.성락원앞,한성대입구(삼선교)
1904,팔각정,한성대입구(삼선교)
1905,성북동성당,한성대입구(삼선교)
1906,성북빌리지,한성대입구(삼선교)
1907,돈암초등학교,성신여대입구(돈암)
1908,북악슈퍼,한성대입구(삼선교)
1909,래미안장위퍼스트하이아파트,돌곶이
1910,대우APT211동앞,미아사거리
1911,길상사,한성대입구(삼선교)
1912,국민은행동소문동점,한성대입구(삼선교)
1913,정릉꿈에그린아파트,성신여대입구(돈암)
1914,홀리데이인성북,월곡(동덕여대)
1915,아리랑시장,성신여대입구(돈암)
1916,중앙하이츠빌아파트,성신여대입구(돈암)
1917,세계문화유산정릉,성신여대입구(돈암)
1918,정릉꿈에그린1단지,성신여대입구(돈암)
1919,돈암코오롱하늘채아파트,성신여대입구(돈암)
1920,힐스테이트입구,길음
1921,한국가구박물관입구,한성대입구(삼선교)
1922,우리옛돌박물관.정법사,한성대입구(삼선교)
1923,삼선교,한성대입구(삼선교)
1924,현대백화점별관주차장,길음
1925,성가복지병원앞,길음
1926,꿈의숲코오롱하늘채아파트,돌곶이
1927,생명의전화로터리,월곡(동덕여대)
1928,정릉시장입구.정릉약국,길음
1929,꿈의숲동문앞,돌곶이
1930,월곡시장.동덕여대오거리,월곡(동덕여대)
1931,대동슈퍼,길음
1932,한진206동앞,성신여대입구(돈암)
